SECUCODE,SECURITY_CODE,INDUSTRY_CODE,ORG_CODE,SECURITY_NAME_ABBR,INDUSTRY_NAME,MARKET,SECURITY_TYPE_CODE,TRADE_MARKET_CODE,DATE_TYPE_CODE,REPORT_TYPE_CODE,DATA_STATE,NOTICE_DATE,REPORT_DATE,TOTAL_ASSETS,FIXED_ASSET,MONETARYFUNDS,MONETARYFUNDS_RATIO,ACCOUNTS_RECE,ACCOUNTS_RECE_RATIO,INVENTORY,INVENTORY_RATIO,TOTAL_LIABILITIES,ACCOUNTS_PAYABLE,ACCOUNTS_PAYABLE_RATIO,ADVANCE_RECEIVABLES,ADVANCE_RECEIVABLES_RATIO,TOTAL_EQUITY,TOTAL_EQUITY_RATIO,TOTAL_ASSETS_RATIO,TOTAL_LIAB_RATIO,CURRENT_RATIO,DEBT_ASSET_RATIO,CASH_DEPOSIT_PBC,CDP_RATIO,LOAN_ADVANCE,LOAN_ADVANCE_RATIO,AVAILABLE_SALE_FINASSET,ASF_RATIO,LOAN_PBC,LOAN_PBC_RATIO,ACCEPT_DEPOSIT,ACCEPT_DEPOSIT_RATIO,SELL_REPO_FINASSET,SRF_RATIO,SETTLE_EXCESS_RESERVE,SER_RATIO,BORROW_FUND,BORROW_FUND_RATIO,AGENT_TRADE_SECURITY,ATS_RATIO,PREMIUM_RECE,PREMIUM_RECE_RATIO,SHORT_LOAN,SHORT_LOAN_RATIO,ADVANCE_PREMIUM,ADVANCE_PREMIUM_RATIO
000586.SZ,000586,016015,10005527,汇源通信,通讯行业,szzb,058001001,069001002001,002,001,2,2020-06-05 00:00:00,2019-06-30 00:00:00,597436271.56,44087022.66,100653975.56,3.8546301879,242117923.02,20.46182836,109331204.32,-1.4225110273,332118456.99,143234340.53,48.4359721644,1584004.83,-56.1908272186,265317814.57,3.7013768166,10.0610310836,15.7308820985,165.633071966,55.5906082037,,,,,,,,,,,,,,,,,,,,,,,,
300270.SZ,300270,016055,10173933,中威电子,安防设备,cyb,058001001,069001002002,002,001,2,2020-05-23 00:00:00,2019-06-30 00:00:00,1383574245.69,250047582.22,48476297.73,-88.4730345449,432883862.29,30.668646812,117100360.91,9.4864029824,349296312.06,185981667.6,-10.2394576041,4681823.93,1.2594826167,1034277933.63,-3.4078526405,-10.2899281649,-25.9188371734,270.3767047836,25.2459391426,,,,,,,,,,,,,,,,,,,,,,,,
300094.SZ,300094,016009,10129025,国联水产,农牧饲渔,cyb,058001001,069001002002,002,001,2,2020-05-22 00:00:00,2019-06-30 00:00:00,5410277981.99,430702851.62,458497039.07,75.8761790081,684704257.39,-9.907489385,2595235068.47,29.9889209282,2604149776,360295445.53,89.5993214716,131699524.08,168.5697134794,2806128205.99,33.0554062518,28.5935747166,24.1089580837,232.0896837415,48.1333821417,,,,,,,,,,,,,,,,,,,,,,,,
300300.SZ,300300,016057,10193022,汉鼎宇佑,软件服务,cyb,058001001,069001002002,002,001,2,2020-05-20 00:00:00,2019-06-30 00:00:00,3458477255.96,227076063.45,143045100.2,-63.7552196325,167218636.9,-42.0648039736,508282918.39,0.0082541969,989339673.6,286342829.82,-17.6003913818,40412307.64,-15.3162205581,2469137582.36,11.5660590224,1.4801736226,-17.2010960436,129.8301799842,28.606221767,,,,,,,,,,,,,,,,,,,,,,,,
605166.SH,605166,016041,10528523,聚合顺,化工行业,shzb,058001001,069001001001,002,001,2,2020-05-08 00:00:00,2019-06-30 00:00:00,1155043057.19,393420647.54,167236144.06,,63754645.89,,145504722.21,,647797470.77,104179253.04,,46111374.58,,507245586.42,,,,96.5670917417,56.0842703428,,,,,,,,,,,,,,,,,,,,,,,,
600064.SH,600064,016017,10002288,南京高科,房地产,shzb,058001001,069001001001,002,001,2,2020-04-30 00:00:00,2019-06-30 00:00:00,30061724993.38,359419373.46,2843674846.56,131.3252033223,803011416.02,-2.8655600603,9920544776.13,10.0610739595,18135200963.72,2738237426.71,13.2778259253,4796559942.61,45.3122502653,11926524029.66,8.2818608169,16.2554062374,22.1718168788,110.5426353301,60.3265480198,,,,,,,,,,,,,,,,,,,,,,,,
300353.SZ,300353,016015,10122896,东土科技,通讯行业,cyb,058001001,069001002002,002,001,2,2020-04-29 00:00:00,2019-06-30 00:00:00,3706367924.91,143264531.19,345667123.96,44.756110061,806139515.16,23.0299415582,163569635.73,7.5044088107,1301882152.42,200165021.93,41.1660761654,28598738.91,-10.3123044951,2404485772.49,9.3566675824,22.9402091153,59.5410137596,260.683978895,35.1255509112,,,,,,,,,,,,,,,,,,,,,,,,
300203.SZ,300203,016021,10163068,聚光科技,仪器仪表,cyb,058001001,069001002002,002,001,2,2020-04-29 00:00:00,2019-06-30 00:00:00,8444873061.31,618343172.83,752886816.62,-1.8006085317,1985044611,8.2617952405,1339720432.09,25.021165488,4493654117.06,648050302.32,34.6047433232,564236418.7,22.1857681462,3951218944.25,10.0097749576,23.0968499811,37.4773476047,158.2798793293,53.2116241942,,,,,,,,,,,,,,,,,,,,,,,,
002499.SZ,002499,016020,10142700,*ST科林,输配电气,zxb,058001001,069001002005,002,001,2,2020-04-29 00:00:00,2019-06-30 00:00:00,1127981116.23,189182123.98,1754894.95,-98.0453688208,648158593.75,-2.5904366609,5731448.28,-97.1402121771,974823927.76,209208990,117.4261733017,123000,-21.4559386973,153157188.47,-80.0526583309,-38.7093593834,-9.1135272996,136.3168828697,86.4220077565,,,,,,,,,,,,,,,,,,,,,,,,
000971.SZ,000971,016014,10005826,*ST高升,电子信息,szzb,058001001,069001002005,002,001,2,2020-04-29 00:00:00,2019-06-30 00:00:00,3297841624.68,398823801.01,529704280.7,-4.0092336265,518430271.98,72.8811974918,74257884.11,,1473564015.12,143209627.21,15.4410728671,82266418.33,1104.6343104673,1824277609.56,-50.8721400238,-16.2745024665,553.326990065,200.1715540491,44.6826798501,,,,,,,,,,,,,,,,,,,,,,,,
