39,300895,铜牛信息,详细  数据,2261万,-,1.09亿,-,7101万,292万,595万,-29.8万,8397万,2493万,2493万,09-07,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/300895.html
40,300893,松原股份,详细  数据,3188万,-,2.07亿,-,1.31亿,1178万,1313万,143万,1.68亿,3649万,3647万,09-07,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/300893.html
41,601038,一拖股份,详细  数据,1961万,113.53,34.26亿,-4.34,29.06亿,1.41亿,1.69亿,4139万,34.54亿,2131万,3592万,09-05,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/601038.html
42,600968,海油发展,详细  数据,6.72亿,14.54,139亿,22.52,122亿,1.26亿,5.55亿,1.17亿,132亿,9.29亿,9.39亿,09-05,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/600968.html
43,300691,联合光电,详细  数据,2650万,-15.57,5.31亿,10.52,4.16亿,700万,2815万,38.92万,5.11亿,1915万,1863万,09-05,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/300691.html
44,300228,富瑞特装,详细  数据,549万,119.99,8.33亿,53.01,6.45亿,3703万,5105万,3465万,7.98亿,507万,231万,09-05,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/300228.html
45,605198,德利股份,详细  数据,7969万,14.46,3.77亿,-29.17,2.62亿,1926万,1882万,-234万,3.04亿,7978万,7975万,09-04,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/605198.html
46,688526,科前生物,详细  数据,1.55亿,-,2.87亿,-,5162万,3598万,1621万,-126万,1.32亿,1.78亿,1.78亿,09-03,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/688526.html
47,002407,多氟多,详细  数据,8769万,-36.32,20.32亿,15.17,15.86亿,8655万,1.3亿,5473万,19.47亿,1.04亿,1.23亿,09-03,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/002407.html
48,688156,路德环境,详细  数据,3085万,182.55,1.46亿,35.35,8307万,292万,1396万,53.04万,1.04亿,3925万,3922万,09-02,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/688156.html
49,688127,蓝特光学,详细  数据,3577万,-,1.19亿,-,6353万,222万,921万,-55.6万,8400万,4117万,4101万,09-02,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/688127.html
50,605369,拱东医疗,详细  数据,4827万,-,2.52亿,-,1.41亿,2218万,1965万,106万,1.97亿,5627万,5591万,09-02,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/605369.html
51,002061,浙江交科,详细  数据,2.34亿,-65.13,115亿,8.90,106亿,5111万,2.22亿,1.08亿,112亿,3.63亿,3.63亿,09-02,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/002061.html
52,688536,思瑞浦,详细  数据,1458万,-,9694万,-,3883万,810万,822万,-12.97万,8742万,850万,854万,09-01,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/688536.html
53,605116,奥锐特,详细  数据,7204万,-,2.87亿,-,1.49亿,1369万,2718万,-79.55万,2.04亿,8389万,8389万,09-01,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/605116.html
54,605050,福然德,详细  数据,1.3亿,-,24.81亿,-,22.4亿,5006万,2162万,605万,23.23亿,1.74亿,1.74亿,09-01,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/605050.html
55,600666,ST瑞德,详细  数据,-3960万,-194.89,4.59亿,-25.10,3.49亿,661万,4577万,8105万,5.19亿,-2510万,-2513万,09-01,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/600666.html
56,300892,品渥食品,详细  数据,4137万,21.88,6.24亿,1.99,3.96亿,1.66亿,948万,-68.82万,5.72亿,5254万,5507万,09-01,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/300892.html
57,003006,百亚股份,详细  数据,6903万,-,5.74亿,-,3.05亿,1.56亿,1704万,-10.72万,4.92亿,8053万,8054万,09-01,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/003006.html
58,003005,竞业达,详细  数据,1.02亿,-,3.76亿,-,1.82亿,3823万,1943万,-68.72万,2.57亿,1.18亿,1.18亿,09-01,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/003005.html
59,003003,天元股份,详细  数据,3639万,2.60,4.93亿,2.99,3.82亿,3057万,1373万,-70.19万,4.47亿,4462万,4442万,09-01,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/003003.html
60,000835,*ST长动,详细  数据,251万,-57.72,3169万,-46.13,1908万,306万,832万,2405万,5718万,-2657万,251万,09-01,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/000835.html
61,688596,正帆科技,详细  数据,1535万,-,5.13亿,-,3.94亿,1332万,5115万,647万,4.91亿,1726万,1731万,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/688596.html
62,688500,慧辰资讯,详细  数据,1461万,-,1.65亿,-,9881万,2844万,1214万,-321万,1.47亿,1812万,1816万,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/688500.html
63,688379,华光新材,详细  数据,2886万,-,3.72亿,-,3.04亿,586万,891万,789万,3.41亿,3245万,3247万,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/688379.html
64,688360,德马科技,详细  数据,1419万,-,3.09亿,-,2.28亿,2766万,2171万,320万,3亿,1754万,1995万,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/688360.html
65,688218,江苏北人,详细  数据,2930万,9.40,2.26亿,17.51,1.69亿,288万,1053万,173万,1.95亿,3173万,3274万,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/688218.html
66,688169,石头科技,详细  数据,3.86亿,-,21.25亿,-,14.35亿,1.23亿,2675万,178万,16.77亿,4.56亿,4.56亿,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/688169.html
67,688165,埃夫特,详细  数据,-615万,-,6.24亿,-,5.16亿,2728万,8950万,309万,6.75亿,-3082万,-1868万,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/688165.html
68,688122,西部超导,详细  数据,8573万,15.78,6.69亿,26.69,4.39亿,774万,4819万,1872万,5.73亿,9797万,9725万,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/688122.html
69,688009,中国通号,详细  数据,22.68亿,14.31,205亿,8.49,157亿,3.7亿,10.88亿,-163万,179亿,28.71亿,28.73亿,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/688009.html
70,603993,洛阳钼业,详细  数据,8.08亿,-74.12,99.79亿,-29.03,77.77亿,4107万,4.82亿,5.08亿,94.17亿,8.28亿,8.24亿,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/603993.html
71,603843,正平股份,详细  数据,4014万,-4.59,14.01亿,22.93,12.27亿,610万,4959万,5380万,13.41亿,6186万,6190万,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/603843.html
72,603808,歌力思,详细  数据,1.9亿,17.90,12.66亿,17.09,4.17亿,3.83亿,1.25亿,-104万,9.81亿,2.96亿,2.95亿,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/603808.html
73,603737,三棵树,详细  数据,1.18亿,99.66,22.02亿,66.14,13.45亿,5.17亿,1.31亿,235万,20.71亿,1.5亿,1.42亿,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/603737.html
74,603718,海利生物,详细  数据,1562万,-51.25,1.39亿,28.55,7454万,2315万,2015万,847万,1.44亿,622万,625万,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/603718.html
75,603680,今创集团,详细  数据,1.78亿,-7.25,17.59亿,32.52,12.25亿,1.02亿,1.41亿,4224万,16.22亿,1.97亿,1.97亿,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/603680.html
76,603633,徕木股份,详细  数据,2285万,2.14,2.16亿,1.25,1.45亿,944万,1271万,1207万,1.92亿,2324万,2637万,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/603633.html
77,603628,清源股份,详细  数据,1690万,95.55,5.33亿,56.23,3.76亿,3162万,3738万,3508万,4.89亿,2162万,2155万,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/603628.html
78,603619,中曼石油,详细  数据,2728万,-73.76,9.49亿,25.53,7.49亿,2474万,5962万,2958万,8.95亿,5865万,6247万,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/603619.html
79,603527,众源新材,详细  数据,4443万,3.06,15.6亿,-1.53,14.64亿,1488万,760万,181万,15.1亿,4754万,5317万,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/603527.html
80,603499,翔港科技,详细  数据,2279万,-10.89,1.66亿,-6.61,1.25亿,943万,1461万,-154万,1.56亿,1995万,2377万,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/603499.html
81,603328,依顿电子,详细  数据,2.66亿,2.90,14.47亿,-4.05,10.31亿,2565万,6439万,-4048万,11.44亿,3.16亿,3.16亿,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/603328.html
82,603269,海鸥股份,详细  数据,1242万,11.25,2.8亿,12.74,1.88亿,2871万,3222万,363万,2.62亿,1901万,1899万,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/603269.html
83,603200,上海洗霸,详细  数据,4118万,-9.64,2.69亿,46.85,1.77亿,758万,2918万,-362万,2.28亿,4769万,4767万,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/603200.html
84,603196,日播时尚,详细  数据,-1627万,-190.78,5.18亿,1.39,2.07亿,2.14亿,6915万,381万,5.19亿,-2334万,-2257万,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/603196.html
85,603136,天目湖,详细  数据,5371万,9.56,2.2亿,0.27,7550万,2920万,3308万,-260万,1.39亿,8369万,8378万,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/603136.html
86,603127,昭衍新药,详细  数据,4042万,78.86,2.01亿,48.65,9861万,500万,4026万,-99.17万,1.6亿,4799万,4798万,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/603127.html
87,603078,江化微,详细  数据,1577万,-17.94,2.26亿,26.46,1.58亿,2201万,1431万,135万,2.09亿,1706万,1704万,08-31,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/603078.html
