42,834003,挖金客,详细,2.28,2.58亿,22.97,-,1.16亿,89.01,-,4.75,57.19,0.2009,34.81,10派9.00,-,09-15,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/834003.html
43,605336,帅丰电器,详细,1.65,6.98亿,10.59,-,1.74亿,15.84,-,6.7555,27.77,2.3044,48.65,-,家电行业,09-15,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/605336.html
44,605218,伟时电子,详细,0.6521,12.3亿,-21.01,-,1.04亿,-24.99,-,3.1171,23.36,1.3299,22.96,-,电子元件,09-15,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/605218.html
45,605111,新洁能,详细,1.29,7.73亿,7.93,-,9821万,-30.55,-,7.5312,18.80,0.9898,20.73,-,电子元件,09-15,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/605111.html
46,430047,诺思兰德,详细,-0.17,725万,-29.54,-,-3700万,-46.71,-,0.34,-42.68,-0.1728,65.34,不分配不转增,-,09-15,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/430047.html
47,300892,品渥食品,详细,1.32,13.8亿,10.36,-,9893万,26.72,-,4.5092,34.24,1.7505,38.53,-,食品饮料,09-15,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/300892.html
48,832491,奥迪威,详细,0.05,2.51亿,-14.08,11.21,561万,-80.23,-109.62,4.28,1.19,0.5132,24.17,10派0.10,-,09-14,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/832491.html
49,400053,佳纸1,详细,0,0,-,-,-91.92万,-101.70,-625.32,-0.0035,-117.62,-0.0161,-,不分配不转增,-,09-14,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/400053.html
50,300897,山科智能,详细,1.28,3.21亿,32.74,-,6505万,23.41,-,5.5778,25.39,0.7529,48.28,-,仪器仪表,09-14,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/300897.html
51,300891,惠云钛业,详细,0.33,10.02亿,10.56,-,9812万,19.76,-,2.4271,14.37,0.4622,23.16,-,化工行业,09-14,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/300891.html
52,300890,翔丰华,详细,0.8225,6.46亿,7.67,-,6169万,0.22,-,8.7302,8.08,0.8725,22.00,-,材料行业,09-14,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/300890.html
53,003009,中天火箭,详细,0.85,7.97亿,19.23,-,9895万,27.69,-,5.994,15.12,0.9891,30.84,-,航天航空,09-14,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/003009.html
54,838030,德众股份,详细,0.34,19.08亿,8.66,18.34,4916万,29.99,178.63,1.94,18.97,0.5165,9.75,不分配不转增,-,09-11,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/838030.html
55,831697,海优新材,详细,1.09,10.63亿,48.61,13.61,6688万,142.18,38.57,8.62,13.93,-0.1633,14.92,10派2.12,-,09-11,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/831697.html
56,688301,奕瑞科技,详细,1.77,5.46亿,24.28,-,9640万,59.14,-,7.8299,25.52,0.5663,49.27,-,专用设备,09-11,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/688301.html
57,300889,爱克股份,详细,1.17,11.29亿,27.65,-,1.37亿,29.87,-,3.9042,35.15,1.2355,35.44,-,电子元件,09-11,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/300889.html
58,300888,稳健医疗,详细,1.45,45.75亿,19.16,-,5.46亿,28.64,-,8.3943,18.80,1.5931,51.65,-,专用设备,09-11,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/300888.html
59,300887,谱尼测试,详细,2.19,12.87亿,2.93,-,1.25亿,-2.30,-,15.58,15.09,3.4041,49.13,-,仪器仪表,09-11,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/300887.html
60,300370,安控科技,详细,0.0142,12.56亿,-8.40,89.82,1362万,102.47,1537,0.9227,1.60,0.2434,28.59,不分配不转增,仪器仪表,09-11,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/300370.html
61,873510,三新股份,详细,0.79,1.81亿,14.50,-,1984万,42.86,-,3.9354,22.35,0.9771,29.83,-,-,09-10,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/873510.html
62,838603,车工股份,详细,-0.32,598万,-95.05,-,-2958万,-10.32,-,0.29,-71.11,0.0277,21.07,不分配不转增,-,09-10,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/838603.html
63,833238,森维园林,详细,-0.12,1185万,-61.80,-,-589万,82.72,-,1.13,-10.34,-0.0103,-7.62,不分配不转增,-,09-10,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/833238.html
64,688577,浙海德曼,详细,1.13,3.85亿,-9.97,-,4560万,-20.92,-,8.1675,14.64,1.2218,34.21,-,机械行业,09-10,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/688577.html
65,688093,世华科技,详细,0.63,2.41亿,-5.93,-,8158万,48.94,-,2.1364,33.46,0.5737,59.32,-,材料行业,09-10,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/688093.html
66,300886,华业香料,详细,1.0642,2.15亿,-16.77,-,4576万,-28.47,-,5.8424,19.82,1.4271,38.58,-,化工行业,09-10,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/300886.html
67,003008,开普检测,详细,1.8,2.03亿,6.96,-,1.08亿,3.21,-,6.2346,32.80,2.1154,79.81,-,电力行业,09-10,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/003008.html
68,003007,直真科技,详细,1.4173,4.09亿,11.64,-,8504万,22.90,-,7.3686,20.77,1.2475,59.21,-,软件服务,09-10,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/003007.html
69,831243,晓鸣农牧,详细,0.79,5.39亿,40.59,2.70,1.11亿,586.12,-19.54,4.02,21.66,1.3226,38.48,不分配不转增,-,09-09,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/831243.html
70,688585,上纬新材,详细,0.22,13.49亿,8.94,-,7827万,221.09,-,2.3929,9.50,0.1225,19.60,-,材料行业,09-09,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/688585.html
